子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
簡単な問題だからすぐ解ける{{c1::と思いきや}}、意外に厳しくて苦しんだ。	と思いきや<br>にしては<br>わりには<br>ときたら
連休中{{c1::とあって}}、観光地は、どこも人と車で混雑していた。	とあって<br>こととて<br>とはいえ<br>ことから
君の能力なら、きちんと勉強すれば合格できた{{c1::ものを}}、どうしてしなかったんだ。	ものを<br>ことから<br>ものだ<br>ことなしに
あんな気の弱い男に強盗なんて、{{c1::できっこない}}。	できっこない<br>できないこともない<br>できないにほかならない<br>できないまでのことだ
営業成績を{{c1::上げんがために}}、社員一同休みも取らずにがんばっている。	上げんがために<br>上げんばかりに<br>上げようと上げまいと<br>上げようにも
財政上の理由から、社員寮の新築計画は中止を{{c1::余儀なくされた}}。	余儀なくされた<br>するにはあたらない<br>せずにはいられない<br>ほかならない
君、新発売のゲーム、やってみた。おもしろいって{{c1::いったらない}}よ。	いったらない<br>きわまりない<br>ほかない<br>たまらない
彼のミスの後始末でみんな大変だった。あれだけ迷惑をかけたのだから、{{c1::謝らないではすまない}}だろう。	謝らないではすまない<br>謝らないこともない<br>謝らないものでもない<br>謝らずにはおかない
どれも同じ品質だというなら{{c1::安い}}にこしたことはない。	安い<br>安全性<br>大きさ<br>価格
研修中の１週間は、外出は{{c1::おろか}}電話もできなかった。	おろか<br>ともに<br>むしろ<br>どころか
試験の結果{{c1::次第では}}、もう一度クラスを編成しなおさなければならないかもしれない。	次第では<br>以上は<br>限りに<br>反面
あなたが悩んでいるなんて、周囲の人は想像{{c1::すら}}していないだろう。	すら<br>だけ<br>ばかり<br>ぐらい
選挙の結果{{c1::いかんでは}}、決まっていた開発が中止になる恐れもある。	いかんでは<br>にかかわらず<br>といえども<br>ならでは
試合を{{c1::来週}}にひかえて、会場周辺はあわただしい空気に包まれていた。	来週<br>先週<br>現在<br>１週間
映画での彼の役は通行人だから、{{c1::よほど}}注意して見ていないと見過ごしてしまう。	よほど<br>たしか<br>まさか<br>いまにも
結果は{{c1::ともかく}}、終わってほっとしている。	ともかく<br>ともすれば<br>とりわけ<br>どうにか
Ａ社は業績が伸びているのに{{c1::ひきかえ}}、我が社は業績が落ち込んでいる。	ひきかえ<br>あって<br>そくして<br>いたって
{{c1::なんとか}}して有名になりたいというのが、当時の私の夢でした。	なんとか<br>なんと<br>なんだか<br>なんとも
この絵は、数々の賞をもらっている彼女{{c1::ならでは}}の作品だ。	ならでは<br>きり<br>なければ<br>ばかり
老人は{{c1::ともすると}}家に閉じこもりがちになる。	ともすると<br>あたかも<br>かりに<br>せいぜい
国会は、この法案の成立を{{c1::めぐって}}紛糾した。	めぐって<br>関して<br>考えて<br>ついて
金を払ってしまったし、今更{{c1::やめよう}}にもやめられない。	やめよう<br>やめたい<br>やめられる<br>やめた
社長と{{c1::いえども}}、社員の個人のプライバシーを侵すことはできない。	いえども<br>いったら<br>いえば<br>いうと
彼は「やったあ」と大声で叫ぶ{{c1::なり}}、飛び出していった。	なり<br>際<br>時<br>より
４月下旬から５月上旬{{c1::にかけて}}花見を楽しむ人が多い。	にかけて<br>にとって<br>において<br>によって
負ける{{c1::ものか}}と、必死にがんばったからこそ、今の私があるのだ。	ものか<br>ものだ<br>ものが<br>ものを
何度調べてみても、異常は見当たらず、{{c1::いっこうに}}見当がつかない。	いっこうに<br>いったい<br>いつしか<br>いちがいに
話し合いは行われた{{c1::ものの}}、結局、合意には至らなかった。	ものの<br>ものだから<br>ものを<br>ものなら
クラスの全員が大学に合格した。林さん{{c1::にいたっては}}受けた学校すべてに合格したという。	にいたっては<br>にあっても<br>において<br>にきいては
夜中に{{c1::ただならぬ}}音がしたので、飛び起きた。	ただならぬ<br>なんとなく<br>ままならぬ<br>とっさに
彼の顔を見た{{c1::とたんに}}、心配事が吹き飛んだ。	とたんに<br>すぐ<br>やいなや<br>たちまち
景気がよくなっても、{{c1::たいして}}生活はかわらない。	たいして<br>いかにも<br>なまじ<br>いったん
緊急に呼び出され、せっかくの妻の料理も{{c1::食べかけで}}、あわてて家を出てきた。	食べかけで<br>食べながら<br>食べていて<br>食べついでに
努力したわりに、{{c1::よい結果が出ない}}。	よい結果が出ない<br>結果がよかった<br>結果は問わない<br>結果はわからない
この映画はストーリーといい、出演者といい、{{c1::とてもすばらしかった}}。	とてもすばらしかった<br>すとーりーのほうが重要だ<br>どちらがよかったのだろう<br>内容のほうがよかった
{{c1::こんなことをするなんて}}、どうかしている。	こんなことをするなんて<br>将来は医者になりたいので<br>これ以上ふとらないように<br>政府は事故の対策として
そこから見えたのは、なんのことはない、{{c1::普通の家}}だった。	普通の家<br>変わった家<br>特別な家<br>すてきな家
一度でも彼の踊りを見たら、彼のファンに{{c1::ならずにいられなくなる}}。	ならずにいられなくなる<br>ならずにおかない<br>なってはいられない<br>なってはすまない
かりに手術が成功したとしても、前と同じように生活できる{{c1::かどうかはわからない}}。	かどうかはわからない<br>かもしれない<br>はずだか<br>わけだ
厳しいことを言うということは愛情があるということに{{c1::ほかならない}}。	ほかならない<br>ほかでもない<br>ほかがない<br>ほかしかない
今後、被害の状況に応じて、しかるべき対策をとることに{{c1::なろう}}。	なろう<br>なれる<br>ねばならぬ<br>である
講義は{{c1::さっぱりわからないし}}、聞く気にならない。	さっぱりわからないし<br>さっぱりしていて<br>さっぱりむずかしいし<br>さほどむずかしくて
父が突然倒れて入院した。ことによると、{{c1::死んでしまうかもしれない}}。	死んでしまうかもしれない<br>回復してもいいかもしれない<br>死んでしまうにちがいない<br>回復するといいのだが
結婚式の{{c1::日取り}}が決まったので、さっそく案内状を出すことにした。	日取り<br>日課<br>月日<br>日程
彼の{{c1::もくろみ}}はことごとく成功し、あっという間に昇進した。	もくろみ<br>もうしで<br>ものずき<br>もうしぶん
一口に文学といっても、小説、詩など、いろいろな{{c1::ジャンル}}がある。	ジャンル<br>ケース<br>システム<br>パターン
きょうは思いのほか仕事が{{c1::はかどった}}から、残業せずに済みそうだ。	はかどった<br>ずれた<br>もうけた<br>ためらった
家賃が{{c1::滞る}}と、大家さんがいい顔をしない。	滞る<br>阻む<br>焦る<br>漂う
人類の長い歴史から見れば、一人の人間の命なんて{{c1::はかない}}ものだ。	はかない<br>もろい<br>そっけない<br>みっともない
人に注意しておいて自分が失敗するとは、実に{{c1::こっけいな}}話だ。	こっけいな<br>あやふやな<br>ありふれた<br>月並みな
